npc_id,profile_text
apothecary_225,"A apothecary with a secretive, polite demeanor who values knowledge, profit, discretion. Goals: maintain_business. protect_knowledge. avoid_scrutiny."
scholar_513,"A scholar with a curious, pedantic demeanor who values knowledge, truth, independence. Goals: protect_research. pursue_knowledge."
scholar_345,"A scholar with a curious, pedantic demeanor who values knowledge, truth, independence. Goals: maintain_reputation. protect_research. pursue_knowledge."
sergeant_154,"A sergeant with a authoritative, professional demeanor who values order, hierarchy, duty. Goals: protect_garrison. maintain_order. follow_chain_of_command."
steward_900,"A steward with a evasive, formal demeanor who values order, discretion, loyalty. Goals: manage_household. protect_noble. maintain_order."
merchant_380,"A merchant with a affable, shrewd demeanor who values profit, reputation, pragmatism. Goals: maximize_profit. protect_reputation. complete_deal."
mayor_elara,"A steward with a diplomatic, anxious, calculating demeanor who values peace, survival, community. Goals: negotiate surrender. save citizens."
priest_048,"A priest with a serene, persuasive demeanor who values faith, duty, community. Goals: maintain_authority. protect_flock. serve_faith."
castle_guard_602,"A castle guard with a terse, formal demeanor who values duty, loyalty, self_preservation. Goals: follow_orders. avoid_scandal. protect_vault."
soldier_924,"A soldier with a suspicious, loyal demeanor who values honor, obedience, comradeship. Goals: follow_orders. protect_comrades. survive."
commander_vance,"A castle guard with a stoic, exhausted, dutiful demeanor who values duty, honor, protection. Goals: hold the walls. catch the spy."
chamberlain_497,"A chamberlain with a polite, refined demeanor who values propriety, loyalty, ambition. Goals: serve_lord. advance_position. maintain_propriety."
sergeant_717,"A sergeant with a brusque, professional demeanor who values order, hierarchy, duty. Goals: maintain_order. follow_chain_of_command. protect_garrison."
soldier_927,"A soldier with a suspicious, blunt demeanor who values honor, obedience, comradeship. Goals: follow_orders. protect_comrades. survive."
spy_828,"A spy with a charming, evasive demeanor who values survival, loyalty_to_handler, pragmatism. Goals: complete_mission. maintain_cover. avoid_exposure."
chamberlain_684,"A chamberlain with a refined, calculating demeanor who values propriety, loyalty, ambition. Goals: maintain_propriety. serve_lord. advance_position."
farmer_638,"A farmer with a simple, honest demeanor who values family, land, survival. Goals: protect_family. survive_season."
innkeeper_504,"A innkeeper with a warm, pragmatic demeanor who values profit, community, self_preservation. Goals: avoid_trouble. maintain_peace. earn_profit."
blacksmith_282,"A blacksmith with a direct, stubborn demeanor who values craft, fairness, independence. Goals: complete_work. maintain_independence. earn_fair_pay."
blacksmith_254,"A blacksmith with a honest, direct demeanor who values craft, fairness, independence. Goals: complete_work. earn_fair_pay."
sergeant_243,"A sergeant with a brusque, authoritative demeanor who values order, hierarchy, duty. Goals: protect_garrison. follow_chain_of_command. maintain_order."
merchant_447,"A merchant with a affable, shrewd demeanor who values profit, reputation, pragmatism. Goals: protect_reputation. maximize_profit. complete_deal."
apothecary_872,"A apothecary with a methodical, polite demeanor who values knowledge, profit, discretion. Goals: maintain_business. protect_knowledge. avoid_scrutiny."
spy_615,"A spy with a evasive, calculating demeanor who values survival, loyalty_to_handler, pragmatism. Goals: avoid_exposure. maintain_cover. complete_mission."
soldier_269,"A soldier with a suspicious, blunt demeanor who values honor, obedience, comradeship. Goals: follow_orders. protect_comrades. survive."
merchant_349,"A merchant with a shrewd, evasive demeanor who values profit, reputation, pragmatism. Goals: protect_reputation. maximize_profit. complete_deal."
priest_355,"A priest with a serene, persuasive demeanor who values faith, duty, community. Goals: serve_faith. maintain_authority. protect_flock."
spy_680,"A spy with a charming, calculating demeanor who values survival, loyalty_to_handler, pragmatism. Goals: maintain_cover. avoid_exposure. complete_mission."
steward_910,"A steward with a meticulous, formal demeanor who values order, discretion, loyalty. Goals: maintain_order. manage_household. protect_noble."
spy_695,"A spy with a calculating, charming demeanor who values survival, loyalty_to_handler, pragmatism. Goals: complete_mission. avoid_exposure. maintain_cover."
priest_631,"A priest with a evasive, serene demeanor who values faith, duty, community. Goals: maintain_authority. protect_flock. serve_faith."
farmer_120,"A farmer with a cautious, honest demeanor who values family, land, survival. Goals: protect_family. maintain_land."
scholar_852,"A scholar with a curious, analytical demeanor who values knowledge, truth, independence. Goals: maintain_reputation. protect_research. pursue_knowledge."
priest_202,"A priest with a persuasive, serene demeanor who values faith, duty, community. Goals: maintain_authority. serve_faith. protect_flock."
spy_840,"A spy with a charming, evasive demeanor who values survival, loyalty_to_handler, pragmatism. Goals: maintain_cover. avoid_exposure. complete_mission."
guild_master_560,"A guild master with a calculating, authoritative demeanor who values power, guild_prosperity, pragmatism. Goals: maintain_power. protect_guild. expand_influence."
apothecary_647,"A apothecary with a methodical, polite demeanor who values knowledge, profit, discretion. Goals: protect_knowledge. avoid_scrutiny. maintain_business."
priest_411,"A priest with a evasive, serene demeanor who values faith, duty, community. Goals: protect_flock. maintain_authority. serve_faith."
steward_843,"A steward with a formal, meticulous demeanor who values order, discretion, loyalty. Goals: maintain_order. manage_household. protect_noble."
blacksmith_834,"A blacksmith with a stubborn, direct demeanor who values craft, fairness, independence. Goals: earn_fair_pay. complete_work."
sergeant_782,"A sergeant with a authoritative, brusque demeanor who values order, hierarchy, duty. Goals: follow_chain_of_command. protect_garrison. maintain_order."
sergeant_337,"A sergeant with a brusque, authoritative demeanor who values order, hierarchy, duty. Goals: protect_garrison. follow_chain_of_command. maintain_order."
merchant_307,"A merchant with a evasive, affable demeanor who values profit, reputation, pragmatism. Goals: maximize_profit. protect_reputation. complete_deal."
priest_461,"A priest with a persuasive, serene demeanor who values faith, duty, community. Goals: protect_flock. serve_faith. maintain_authority."
merchant_garrick,"A merchant with a greedy, pragmatic, shifty demeanor who values profit, self_preservation. Goals: hoard grain. bribe guards."
guild_master_397,"A guild master with a diplomatic, calculating demeanor who values power, guild_prosperity, pragmatism. Goals: expand_influence. protect_guild. maintain_power."
apothecary_336,"A apothecary with a methodical, polite demeanor who values knowledge, profit, discretion. Goals: maintain_business. avoid_scrutiny. protect_knowledge."
priest_500,"A priest with a serene, persuasive demeanor who values faith, duty, community. Goals: maintain_authority. protect_flock. serve_faith."
innkeeper_774,"A innkeeper with a warm, pragmatic demeanor who values profit, community, self_preservation. Goals: earn_profit. avoid_trouble. maintain_peace."
priest_687,"A priest with a evasive, serene demeanor who values faith, duty, community. Goals: maintain_authority. protect_flock. serve_faith."
spy_037,"A spy with a calculating, charming demeanor who values survival, loyalty_to_handler, pragmatism. Goals: maintain_cover. complete_mission. avoid_exposure."
guild_master_979,"A guild master with a diplomatic, authoritative demeanor who values power, guild_prosperity, pragmatism. Goals: expand_influence. protect_guild. maintain_power."
castle_guard_235,"A castle guard with a formal, guarded demeanor who values duty, loyalty, self_preservation. Goals: avoid_scandal. follow_orders. protect_vault."
spy_311,"A spy with a charming, evasive demeanor who values survival, loyalty_to_handler, pragmatism. Goals: avoid_exposure. complete_mission. maintain_cover."
blacksmith_973,"A blacksmith with a direct, stubborn demeanor who values craft, fairness, independence. Goals: complete_work. maintain_independence. earn_fair_pay."
apothecary_158,"A apothecary with a polite, secretive demeanor who values knowledge, profit, discretion. Goals: maintain_business. avoid_scrutiny. protect_knowledge."
merchant_577,"A merchant with a shrewd, evasive demeanor who values profit, reputation, pragmatism. Goals: maximize_profit. complete_deal. protect_reputation."
soldier_761,"A soldier with a suspicious, blunt demeanor who values honor, obedience, comradeship. Goals: protect_comrades. follow_orders. survive."
sergeant_607,"A sergeant with a brusque, professional demeanor who values order, hierarchy, duty. Goals: maintain_order. follow_chain_of_command. protect_garrison."
priest_590,"A priest with a evasive, serene demeanor who values faith, duty, community. Goals: protect_flock. maintain_authority. serve_faith."
steward_670,"A steward with a meticulous, formal demeanor who values order, discretion, loyalty. Goals: manage_household. maintain_order. protect_noble."
healer_301,"A healer with a empathetic, calm demeanor who values compassion, knowledge, neutrality. Goals: maintain_neutrality. help_patient. protect_knowledge."
sergeant_798,"A sergeant with a brusque, authoritative demeanor who values order, hierarchy, duty. Goals: maintain_order. protect_garrison. follow_chain_of_command."
healer_490,"A healer with a careful, empathetic demeanor who values compassion, knowledge, neutrality. Goals: maintain_neutrality. help_patient. protect_knowledge."
