text,openness,conscientiousness,extraversion,agreeableness,neuroticism
"Its hard to think about what to write of when you are told to, although maybe its hard because things have become more difficult as of late. It must be the typical freshman story but even though we all try to be so different when we come here we all end up in the same boat. It so much like high school its hard to believe, we'll the social part of it is anyway. Sometimes I wonder what I would do if there weren't music in the world. At times it seems to be the only thing that keeps people together, although you never hear many people talk about it in that light. What is even more interesting is how depressing and sentimental most of these essays will be. I wonder how many people will write about how depressed they are and how no one really knows the real them and how hard it is to wake up in the morning. Its hard to differentiate between what is real and what is a line out of a movie that someone is saying these days. So maybe that's why everyone tries to be different. I really don't know. But as everyday passes it seems like people lose a sense of the beauty in the world. There isn't anything much more beautiful to me than the sunset or just sitting outside. I find shadows especially beautiful, I'm sure that it holds some underlying meaning to it that I find shadows pretty. Something about how since I like them that I feel that I'm in the shadows of life, but maybe I am. I just feel more alive sometimes when I sit outside in absolute stillness and let everything live around me. I feel as if I'm living with it. Strange I know, but true. I have always felt that if I were to die I would like to die lying in a field in the afternoon listening to music. I have a picture by Monet that reminds me of a field that was behind my house when I was younger. It seems that those times were so much better than times are now. I wonder if I'll ever be as happy as I was back then again someday. And I'm not alone in that thought. Responsibilities just keep piling up day by day and I just wish that there were a break. It would be nice to be a rock star someday, I feel that if I were up there on stage that I would be so much happier. But I know that I probably would feel the same as I do now. I need to do something that will get me recognized someday, I feel as if I'm destined for fame somehow. But as it is now I feel like I'll end up in a dead end life like most others. I know that most say that there are many other things that make life worth living even though they have a job that they hate. But I would rather be a bum then have a job that I hated. I would feel like I sold myself out in someway. Transcendence is something that has always interested me. Mostly the idea that I could transcend life and become something greater than it. The way the words come off ones tongue when they say that makes me feel warm. I envy authors that have a mastery of language. It would be awesome to write something that when people read it they would be overcome with emotions. Hopefully I'll make enough money in my life that I can stop working and spend all my time making music. I just wish I had the balls to become a musician and do what I want, but if I do I feel like I'll be a failure to all those that I've told that I'm going to be a doctor and what not. Its a nice business its just that there isn't much recognition in it unless you put your whole life in it. And I don't think that I could put my whole life into it since I don't think I would enjoy it.",1.0,0.0,0.0,0.0,0.0
"Today has been one of the longest days of my life. I have had only one class today so I am constantly looking for some way to spend my time. It seems that everyone I know here on campus is in class or at work, therefore I am left alone with nothing to do. When I sit there with nothing to do I become very homesick. If it were not for my Friday classes I would be long gone. It excites me however, that tomorrow I get to go home. I can't wait to be in my own house without a roommate or doors slamming through the night. One thing that I can't wait to see is my cousins. They are adorable. The oldest, Sydney, is like the sister I never had despite the fact that she is only nine years old. I enjoy being around her and it makes me proud when she comes to me to ask personal questions. I have three other cousins too. Leizl, who is five, is so cute and has such a wild imagination. It excites me to watch her imagination at work. She is one of the very few children left in this world that can entertain herself for hours with a paper towel roll. Next is Will, the little man. He is only two and is constantly making me laugh. He is in love with Blues Clues and Power Puff girls. He knows every word to the songs and has his own little dance for each of them too. The youngest, and I have to say my favorite, is little Miss Annie Makenna. She turned one on August 30. The reason that I think I like her the most or think about her the most is the fact that we almost lost her. She was born with the strep virus in her lungs and spent the first month of her life in the ICU on a lung machine. She is now a healthy little girl. She is now walking but it seems so weird to see her walk because she is only the size of a 6 month old. She is so tiny. I can't wait to see them. They are the world to me and I love them and miss them everyday. Just as I do my parents and my brother. That is on thing that gets me down about college. I don't like being away from my family. I love them dearly. They mean everything to me. Writing this paper has depressed me but I know that tomorrow I will get to see them all and spend the entire weekend with them. Yeah! My brother is cool. I am one of the very few girls in this world that got blessed with an awesome older brother. He is three years older than me and he has always been there for me, much like my two loving parents. I thank God everyday for the family that he has given me and the support he has surrounded me with.",0.0,0.0,0.0,1.0,1.0
"I went to church tonight. It makes me feel very calm and relaxed. It puts the world into such a different perspective. Everything seems so simple. It makes me want to be a much better person. The television is on. I think it's on MTV. I'm not watching it though. That's annoying song on that commercial. I don't want to go back to school on Tuesday. I have a lot of work to do including reading for this class. I can't wait till Friday. I get to go home, and my boyfriend is coming in town. I hate commercials. I don't like eating college food. I really miss not having to worry about going out and getting something to eat. My roommate went home for the weekend. It's weird being here alone. I have been going to sleep late this weekend. I turned off the TV. I went to the football game last night. It was fun. There was a lot of drunk people there though who snuck in alcohol. It makes me almost think that they should just sell beer at the games so people wouldn't sneak it in. It's very quiet. I want to join clubs here. I really want to volunteer at like a pregnancy help center. I want to make a difference that way. I'm really hungry so I am eating burnt popcorn. I will prob. make some more after I finish this. I don't know what the point of this is. I think it's a cool assignment, but I wonder what it is going to show about the way I think. I want my boyfriend to call. I miss him a lot. I saw my friends today. I bought sandals with a little brasilian flag on them. They are really cute. My boyfriend is from Brasil. It just occurred to me that I'm not sure if you spell that county with a s or a z. I'm a horrible speller. The tower was so pretty last night. I think it is my favorite part of campus. I look at it everyday, and it reminds me that anything can be accomplished if you put your mind to it. I love it. I like how you can see the capitol building too at the same spot by the tower. They're just really cool. I think I hear one of my suite mates. She went to visit her boyfriend in San Marcus. I wish my boyfriend was closer. It's hard having him so far away. I know everything will work out though because I love him so very much. Wow. I can't wait till Friday. It was really cool visiting him in Michigan. My dad's birthday is coming up on the 26th. That is also Luis and I's 5 month anniversary. Wow. that's a long time. I want to marry him. That may sound weird. too soon or whatever. But it's true. I never thought I would find someone so amazing. He told me that he wants to marry me someday. I wish that I could fastfoward college sometimes so we could be together again. I went to this meeting on studying abroad on Friday. It was pretty boring. It was interesting how many countries you can go to. I want to do that one day. That would be fun to experience another culture. I mean I've been to Europe before but only for a couple of weeks. Not long enough to learn about it in-depth. I have noticed how dead it is on campus on the weekends. It's kind of sad. Especially this weekend. I'm surprised how many people left. I love the picture of my baby next to my printer. He's so adorable. He makes me feel so special. I'm thirsty. Why isn't my boyfriend calling me? I love the sound of his voice. I forgot that I wanted to call my mom today. I wanted to tell her about the game and find out about Bridgette. I hope she is alright. The priest at church prayed for the people in Florida. I'm happy that Carmen goes to church now. My friend once told me that she didn't believe in God. I hope she does now. I almost started crying in church because I was so happy. I like when my boyfriend goes to church with me. He's such a better person now that he's going out with me. It's amazing how much he's changed. He stopped drinking. Not that he won't have a sip every once in a while, but before he would drink every weekend. He wouldn't get drunk but still he would drink a lot. I want to talk to my friend ben. He's at LSU. Wow. 20 minutes is a long time. I can't believe I'm still writing. It's getting pretty boring. I don't know what else to think about. I miss my nephews they are so cute. I don't see how anyone could ever have an abortion. That's so incredibly sad. I hope I can help put an end to abortions one day. It makes me sick just thinking about it. I really don't like analynn. Goodness she is very mean and fat. I'm glad that I never have to see her.",0.0,1.0,0.0,1.0,0.0
"okay well I have 20 minutes to write this paper well isn't that exciting. I believe Im the worst speller and typer in the world. it seems like this is a really long page anyway I just wrote to my friend marissa who goes to southwest and I was going to write my friend Jamie who I meet this summer at work but I was stupid and didn't get her email address of the letter she sent me and erased so now I can't write her, she probably thinks Im the biggest bitch right now . I wonder if you all actually read these and analyze them . I want to go into criminal psychology because I think it sounds very interesting and believe it would be good for me when I try and get into the FBI I hope I can get into it. what if they turn me down. then Ill have worked all these years for it and gotten nothing from it . I think I will get in though . You know what I hate is when your hands get on the wrong keys on the key board and if your not watching you can write three sentence all messed up because of one little misplacement of the hand . I really hope you all don't read these because mine is kind of silly. anyway I slept for a long time today and I still feel tired I think if you sleep to much it makes you more tired, that's just my theory. It seems like I've been at this computer for ever because the note I wrote to my friend Marissa was really long and Im not that fast of a writer. When you stare at I computer screen real long it seems like your in a trance just like when you watch t. v. you just totally can veg out. a girl just poked her head in the door. Im down in the computer lab right now because I don't have a computer and the one my room mate has doesn't have the Ethernet set and she's hooked up to America on-line so I can't use my password to log on so I have to come down here. I really want a t. v. in my room. I know it is such a trivial thing but sometimes it's just nice to come home and relax and watch some t. v. Noelle said she was going to get one before we came down but now she doesn't want to spend the money on it and my parents and I don't have the money so we are just stuck with out a t. v. It's okay though I'm sure it's better for me. the only thing is I don't know when anything is going on . I need to find out about the ani dafranco concert for Jacob I just don't know who to ask or where to look. anyway about the t. v. I don't get a newspaper and the daily Texan doesn't tell you every thing that's going on around the world. so a t. v. would be helpful so I could watch the news. well my mind just went blank and I have nothing to talk about. I love to people watch ,  it's cool to see the way different people act. That's why I think psychology would be interesting. I like to know how people tick. I hope me and Shawnee stay best friends through out the year because I really want her to move down here next year, but when I went home last weekend I don't know if she had fun with me or not. oh well I won't worry about because what ever happens will happen. Im sure it will all work out for the best what ever it is. my 20 minutes is up now so Im going back to my room . so long.",0.0,1.0,1.0,1.0,0.0
"I am a little worried about this asignment because I don't type very fast, but I guess this is giving me good practice. I don't know if i should go run before dinner or take the excerisese class that is after dinner. I need to do something because I will get into the pattern of not working out,and then i will gain the freshman 15 like very one says you do. There is just so many other things that i need to be doing. But i know that i feel better if i work out. If i gain weight i will get depresed and i won't want to do anything. I can't believe Jason is so wraped up in working out. i am supposed to be the one worried about my figure. Ana has lost weigh too. How does she stay so motivated, and excited about runing. I would go take that class, but i have never done kick boxing, and i will problay look very stuiped. There are girls that just never shut up in this dorm. And some that always have the perfect hair and make up. That just seems so high school to me. I am excited about the chrisitan soriety. I hope i can find some girls that i like to hang around with. Surley their will be a couple that i will enjoy being around. I hope I enjoy the pledge retreat on Friday. I bet we will be up all night. That means that I will probably be sick again. Ana is coming down on Saterday, and I hope that Amy will come to. Amy has grown up so much in the last couple of months. I can't believe that she is being exposed to all of the Jenkins trama with Jims affairs. That is just a burden that she should not have to have. I know i think about it all the time and i did not have to listen to it as much as she did. It just amazes me how he could have done that. I wonder if he has some kind of mental problem. It would not surprise me, look at his dad. I just hope Graham is not like his dad. Surley Ana would know if he was. At least i hope she would know, for her sake. I think it is funny how Pam all the sudden likes to cook now. She is in her late fortys and is just now learning how to cook. Thats sad. I am glad that i grew up in a family who cooks, and eats dinner together at night. Or at least we did when we  were little. Not all the time now that everyones off to college. It was so wird going home this weekend, it was almost like i had to get used to it again. It has felt so far away for the past three weeks. I don't want to go home too much. I want mom and dad to get the feeling that Im gone, and so then when i come home it is special. Jason made me mad this weedend, becuause he did not come and visit with my parents. I took time out of my schedule to come and visit his parents. His parents seemed weird this weekend also, i wonder what was up. Page seemed like she was jelouse that they were having to buy Jason some new cloths. That is so rediculous. She is a grown woman that can act like a small child some times. She can be very stingy. I can't believe that Jasons parents don't support him very much, i guess i am just used to having the best dad in the world",0.0,0.0,0.0,0.0,1.0
"I lost interest of the situation but after a whole summer of not talking to her I started to miss her. I had attempted to email her but she never responded, I guessed that she was mad at me. I have emailed her 6 times with no reply but I am a persistent bastard so finally today, in fact just before I opened this page I decided to check my email as I do every day and there was her email. it explained that she had not checked her email all summer, it may not be true but it works for me. I proceeded to write her back thereby postponing this assignment around 10 minutes. I will eagerly await her reply as I basically demanded to see her. We'll see if she accepts. I never checked to see when I started this but I will keep on writing until I run out of shit to say. I assume that cursing is not a problem, I understand that this is a class full of naive little freshmen but I think we are all mature enough to hear such profanities, don't worry I wont go pornographic or anything but the instructions were to write what was on my mind and I am an avid cusser so I hope this will do (that is if anyone actually reads this masterpiece of stream of conciousness writing). now I am running out of things to say. I like most of my classes. my major is biochemistry. I am 20 years old. I have brown hair blue eyes,  I like to play football watch football,  OPENING DAY IS SUNDAY!  I live for football actually,  I like movies, I am filling in space. this is odd and I am going to stop now. thank you kent",1.0,0.0,0.0,0.0,0.0
"Hello my name is Joey michael Kindred and I am a biology major. I plan to go to medicall school some day and I hope to become an orthopeodic surgeon. I did not become interested in orthopeodic surgery until I hurt my knee the first game of the football season my senior year in high school. I tore three ligaments and blew seventy percent of my cartilage in my left knee. I used to want to be an orthodontist until this injury but my interests changed with the surgey and all. School is very importtant to me although in high school I can honestly say that I did not try my hardest. I did weell enough to get by and to get into the University of Texas but I did not do my best. From this point forward I strive to be the best that I can be in school and whatever I do so that I can get into a medical school, hopefully somewhere in Texas. I grew up and lived most of my childhood in dallas texas and that is where my dad lives. I have a lot of friends that live there and I really like dallas. It holds  a special place I my heart because of all of my experiences there. I moved to mIdland texas in the seventh grade and went to high school there at midland high. it is really neat to hear you talk about midland, Dr. Pennebaker, in our class. I had many great thigns happen to me while I was in midland and one of those things is my long term girlfriend of five years, Katy Kelly. She means the world to me and I  hope I mean the  world to her. She ended up at texas tech university but hopefully she is going to transfer to UT at the start of next school year for the fall of 2000. I am going to las vegas with her and her family in september for her birthday and I think that will be fun. it will be hot in las vegas and I look forward to seeing the beachboys and Alannis Morisette live at my hotel. I miss her terribly and I haven't seen her since the 20 of August. her mom and dad constantly send me email and little care packages and I hope someday I will marry this girl. I want to live somewhere in the country but somewhere that I don't have to drive that far to work. I want to live outside of a big city because I want to be a weell known doctor that people from all over teh country go to in order to get there bones fixed. that has always been a goal of mine and I plan to carry it out. I hope to have kids someday and raise them the same  way my dad raised me because I can't complain. I grew up in a chrch going family and just came to really know the Lord abotu two years ago. Church is very important to me although I havent found a church here in Austin that I am just wild about. I am a freshman yousee and I havenot been heree that long. that is my life story wrapped up in just a little bit of time but I guess that was my stream of conciousness because that is what I thought about when I was writing.",0.0,0.0,1.0,1.0,0.0
"I have so many things going on in my life right now. Pat Wedge, the cheerleading coach, called me yesterday and invited me to come and work out with the squad. I do not know if I am ready to cheer this semester. Right now my biggest concern is my grades. I am going into am interview on Wednesday with romie, from K-Hall agency, I love to model and I hope my career will progress in Austin. Then today I called thr director over the Miss Austin paegent, she is going to mail me information to compete in the paegent in Feburary. All of this adds on to my never ending stress. I guess you can say ""I do not like to put all my eggs in one basket"", at least my mom tells me that. I like to try everything life has to offer, so I will fill satisfied. Besides all my extraciricular activities, I feel a little empty. Being a freshman I am having to deal with moving away from my family and starting a new life on my own. I finally knew I was grown up when I got my first phone bill! I really enjoy Austin, it has so many things to offer. My mom misses me, we were very close. On sunday I met her in Temple and we talked. My feelings are very strong, but I know how to deal with them. I have had many obsticals in my life and I had to learn from my mistakes. I think in the long run I would not change my past. It made me grow up a lot quicker. I also feel in more mature for my age than other freshman, because of my past expirences. I can not wait to see what the future holds for me. I guess you can say I get really excited about life, because there are so many directions god has allowed me to go. I will just let him guide me, and I know I will be happy and sucessful.",0.0,1.0,1.0,1.0,0.0
"I am thinking about an email I just read. It's from a friend from a      kickboxing class. He was giving me a hard time, Which is fine because I make fun of him too. He's a pretty funny guy but I am really trying to come up with a good joke to really bust his chops. I am also thinking about  how depressed everyone is today, being September 11th and all. I wonder how Sept. 11th will be in like 50 years. I also wonder how long it will take for it to get into student's text books. I hope they don't do the same thing that they did for Pearl Harbor and Titanic, and make a love story out of it. That's rediculous, there is more to it than some guy going off to work while his wife is at home and his lover is at his secret apartment. I bet a lot of people will be angry if someone manages to come up with one. I would hate to be President Bush now. He has some tough decisions to make. Half of the country says: Kill 'em all! While the others are screaming:   PEACE.   No matter what, someone will not get what they want. Even in the West Mall today, there are tons of people speaking their opinion, showing signs and passing out ribbons. But it's not totally black and white. I think there is a grey area. Some people say war and some say peace, but I think we can find some in-between. Killing innocent children isn't a good idea but we have to stand up for ourselves if we want this to stop. I don't know. . I don't like talking about politics or religion. Too much controversy. Everyone is too stubborn to see the sides of others. I am also thinking about when I was here in the computer lab yesterday. Some girl started crying really loud in the hallway. It was just like out of the movies. None of us knew what was going on. Some people got up and went to see, which (although curious myself) I thought was rude. I went to my kickboxing class last night. It really makes me feel self-confident. Learning those moves last night was a lot of fun. Why isn't the time and minutes thing doing anything? I am afraid that I will have to do this all over again. I am looking around the room and noticing that just about everyone here is checking their email. I guess no one does work on computers!!!  I like coming in here to check my email but I always feel like someone is reading what I am typing behind me. If they want to know so bad, they should just ask. I am very tired. I went to bed late, and slept through my alarm. But somehow I still made it to my 9:00 class. Barely! That class is fun. Learning sign language is very important I think. Just as important as learning Spanish or French or something. Going to the social events will be sort of weird though. Since I am not very good at signing, I will pretty much be a wall flower.",1.0,1.0,1.0,0.0,0.0
"I'm really behind in school work right now. I have been working so much that I have put school work aside. I have a lot of things to buy and not enough money for everything. I'm wondering if I really need to buy a mask for my scuba class. that means I would have to invest ninety bucks in a mask and at least twenty for the snorkel. another thing that makes me really mad is that I just bought those flip-flops today and somebody stole them. that makes me so mad, it's like nobody has any integrity anymore. I don't understand every time I find something in a store I always turn it in. that's  the way I would like for my things to handled if I left them. it just makes me mad. sure, they were on a super sale for ten bucks, but still, that is not the point. I wonder where my honey is at. oh yeah he had a flight meeting to attend. I wonder when he'll be back. it's already nine. okay, let's think, what do I have to do tonight. I have to finish up my economics homework, gosh I have to get at least a b in that class. I also have to get a good grade in this psych class. I wonder who's right outside, they sure are making a lot of noise. oh yeah, I have to do good in this class because I need it for my sequence to apply to the school. so I have to finish up this homework and then do eco. I'm glad I don't have to worry about digging up all the answers since I already found a bunch of them. I have to read for social work and I need to go and buy the sports package. I need to find out what time I have to be at work on Wednesday evening. I don't think my boss understands that my class doesn't let out until five and she wants me at work by five thirty, she's crazy. gee, I'm really thirsty. gosh, I have got to get back into homework. I have a test in sw on the 22. I have so much reading. I hate reading especially about research stuff. I think the only reason I'm caught up in psych is because most of the reading is pretty interesting and so is the prof. and economics, I guess I'm just afraid to fall behind in that class. so my goal for the evening   will be to get all this psych stuff done and economics and get through the chapter in social work. that shouldn't be too hard. I kind of like that Jason isn't home but I'm getting worried about him. if he were here then I probably wouldn't' be getting this done. on the other hand he has plenty of physics and calc to do also so I guess we'll both be getting school work taken care of tonight. I'm so excited that I'll get to go to one of the football games this year. at least I'll feel like a normal college student for a day. I wonder how that slip that I just bought fits. I have yet to try it on. I bet Jason will love it but he will just have to wait. gosh, I'm hungry. what did I eat today, oh yeah I ate Chinese. I really have to get in touch with bob.  I feel so bad that I haven't contacted him. I need to extend my condolences to his family. I bet his poor mother must be miserable without her husband. I don't know what I would ever do if I lost Jason, that's because we're not even married.",0.0,0.0,1.0,1.0,1.0
