text,valence,arousal,dominance,emotion_label,source
"I remember going to the fireworks with my best friend. There was a lot of people, but it only felt like us in the world. PLAYER: I remember going to see the fireworks with my best friend. It was the first time we ever spent time alone together. Although there was a lot of people, we felt like the only people in the world. NPC: Was this a friend you were in love with, or just a best friend?",0.58,0.42,0.45,sentimental,empathetic
i used to scare for darkness PLAYER: it feels like hitting to blank wall when i see the darkness NPC: Oh ya? I don't really see how,0.12,0.83,0.25,afraid,empathetic
I showed a guy how to run a good bead in welding class and he caught on quick. PLAYER: Hi how are you doing today NPC: doing good.. how about you,0.78,0.62,0.72,proud,empathetic
"I have always been loyal to my wife. PLAYER: I have never cheated on my wife. NPC: And thats something you should never do, good on you.",0.72,0.45,0.68,faithful,empathetic
"A recent job interview that I had made me feel very anxious because I felt like I didn't come prepared. PLAYER: Job interviews always make me sweat bullets, makes me uncomfortable in general to be looked at under a microscope like that. NPC: Don't be nervous. Just be prepared.",0.08,0.92,0.15,terrified,empathetic
"I am very happy to have been first over 300 students during this years at my enginering school PLAYER: Hi, this year, I was the first over 300 students at my enginering school NPC: Sounds great! So what's your major?",0.88,0.72,0.75,joyful,empathetic
I once lost my job and got mad. PLAYER: I lost my job last year and got really angry. NPC: I am sorry to hear that. Did it happen out of the blue?,0.12,0.79,0.58,angry,empathetic
"One year during christmas, i did not get a single gift. It was a rough day for me. PLAYER: During christmas a few years ago, I did not get any presents. NPC: Wow, that must be terrible, I cannot imagine, I lvoe christmas",0.15,0.42,0.18,sad,empathetic
"I was at work, and my coworker was called into my bosses office. Then they were allowed to work remotely every monday. this made me jealous because I enjoy working from home PLAYER: My coworker is allowed to work remotely, but I am not... NPC: I work remotely, I wish that you could do something like that as well.",0.22,0.68,0.48,jealous,empathetic
I was home alone. I heard a loud noise come from the kitchen.  PLAYER: The other night I was alone and heard a nose coming from the kitchen... it was creepy.,0.08,0.92,0.15,terrified,empathetic
"I went to a park and I set on a bench. I didn't notice that my wallet felt. A man came to me from behind giving me back my wallet. PLAYER: Hi, I went to a park and I set on a bench. I didn't notice that my wallet felt. A man came to me from behind giving me back my wallet. NPC: Thats a sweet man, I hope you acknowledged his kind gesture.",0.75,0.45,0.52,grateful,empathetic
I got recently got three rejection letters for 3 different jobs in a matter of a week and a half. That was a painful experience.  PLAYER: People get rejected all the time but it shouldn't be an excuse to let it dissuade you from reaching your goals. NPC: What happened?,0.15,0.42,0.18,sad,empathetic
I had my entire house boarded up when the hurricane came. PLAYER: I had to board my entire house when the hurricane was coming. NPC: WOW! Did it do any damage?,0.62,0.48,0.75,prepared,empathetic
"one time when I was in preschool, I had to write on the board. when I got up, my pants fell down in front of the class, that embarassed me PLAYER: Once when I was in preschool, my pants fell down in front of the whole class, I was so embarassed NPC: haha yeah that would be very bad !",0.15,0.55,0.22,embarrassed,empathetic
I am so upset and mad. I cant believe what has happened! PLAYER: I never thought things would go like this. NPC: What happened for you to feel that way?,0.12,0.79,0.58,angry,empathetic
Last year a tree fell on my house while my family was at home. The tree broke through the ceiling just a few feet away from my daughter. The experience was terrifying. PLAYER: What a difference a year makes. Last year one evening my family was at home when a tree fell on the house and broke through the ceiling. NPC: That's very scary. I hope no one got hurt.,0.12,0.83,0.25,afraid,empathetic
"Last week, I was watching the world cup, and watched croatia win from russia PLAYER: So last week we were watching the world cup, and lo and behold, Croatia beat the host country, Russia NPC: I saw that game. They won on penalty kicks!",0.78,0.82,0.62,excited,empathetic
"I have someone always asking me questions about how to use mobile. PLAYER: Hi, I have a co work always asking me questions about how to use her mobile. It is almost always the same questions. NPC: It must be so frustrating to have to answer the same thing over and over. Is she older?",0.2,0.65,0.42,annoyed,empathetic
