text,valence,arousal,dominance
"Appreciatively, Mark Van Putten President",0.55,0.44999999999999996,0.5
The gold-plated sedan chairs on the left-hand side of the temple were once used for transporting the statues of the temple’s gods in religious processions.,0.5825,0.555,0.5
Now: may we ask you a few questions about an individual we believe to be a vampire?,0.38749999999999996,0.6375,0.38749999999999996
Safe?,0.525,0.475,0.5
"Their struggle to attain status in societies still bearing the marks of Spanish colonialism is deeply tied to their struggle to reaffirm the nature of their “indigenous identity”, and is in turn linked to the interaction of Spanish and their native languages.",0.5,0.525,0.5
"If supplies are not reaching the people who need them, Hall said, he wanted to find out whether the United Nations or relief agencies needed to handle things differently, or whether ""Iraq needs to get out of the way and let us do the job.""",0.42500000000000004,0.6,0.525
"When my father died, a year after my mother, my sisters and I cleaned out their apartment.",0.25,0.44499999999999995,0.5275
I just finished insulating my house and installed high efficiency windows and HVAC.,0.6,0.525,0.575
"While hardly the worst example of dictatorship in the Middle East, Egypt is one of the saddest.",0.3325,0.5,0.5
Ready to eat chicken breasts recalled due to suspected listeria,0.525,0.5,0.44999999999999996
Senator Says U.S. Should Rethink Iraq Strategy,0.46499999999999997,0.6425,0.6075
"""I need more capacity in that end of the market,"" he said, ""and this is factory is critical to meeting that growing demand.""",0.475,0.55,0.575
"Brad 14. Oct, 2010 at 7:02 pm",0.5,0.44999999999999996,0.5
"Between June 21 and August 31, 45 youth will spend 20 hours a week developing life management and work ethic skills, learning the computer, visiting area colleges, and interacting with guest speakers.",0.525,0.475,0.55
"“Nathan,”",0.5,0.47,0.5
"So, please send us your membership gift today ... by using the convenient form attached to your personal address labels.",0.5925,0.5225,0.59
"The second mobster said the French pair had ""only three judges,"" and of the two judges they needed to win the gold medal ""one is ours, and the other our friends will give them.""",0.5,0.5325,0.4375
"The Russian team of Yelena Berezhnaya and Anton Sikharulidze narrowly won the gold medal over the Canadians Jamie Sale and David Pelletier, who were later awarded a duplicate gold medal because of the ensuing judging controversy.",0.42500000000000004,0.6,0.4
The one thing that wouldn't change.,0.475,0.44999999999999996,0.5
“ethereal beauty”,0.625,0.5625,0.5625
"“Again, bleak,” commented Zheng.",0.4,0.525,0.5
Findings: Can humanity survive? Want to bet on it?,0.5,0.475,0.5
"Whether it is to fund additional land for the Addo elephant park in South Africa where 29 calves were born this year or our partnership with Future Generations to save vital habitat for moon bears, bengal tigers and other animals, or our response to move orphaned lions to 500 acres of protected African bush where they will live safely for the rest of their lives… we are committed to the concept of ANIMAL SANCTUARIES.",0.6,0.7,0.65
"I'm not particularly interested in whose fault this mess is; rather, I choose to focus on how we're going to clean it up.",0.475,0.525,0.675
"Next stop: sunny Tennessee, where I get down on The Farm.",0.55,0.5,0.5
Hall is to return to Washington on April 22.,0.5,0.4275,0.5
I started wondering again how reliable my guide’s credentials were.,0.35,0.575,0.35
"He was slim, almost drawn, but he had a kind of … luster to him, I guess.",0.525,0.5,0.475
I am very thankful to the Big Sisters program for allowing me this very special opportunity.,0.75,0.525,0.475
"As a Matchmaker you will receive a description of ""your match"" and be identified as a Matchmaker on a plaque in the Big Sisters office, in the agency newsletter and annual report.",0.5925,0.4375,0.625
"Let me abuse the playwright and dismiss the penultimate scene in a few sentences: After giving Emil full rights to a sculpture of Tasha and me, we had a good dinner of curried clam chowder, lobsters boiled on Terra and unstopped still steaming on N'Apulco, and cinnamon custard for desert.",0.5,0.42500000000000004,0.5
The impoverished plight of the native populations was first recognized by the Marxist movements of the early 20th century.,0.5725,0.535,0.5
The Grill will feature enough activities that you and your kids will have a tough time deciding what to do.,0.5,0.4375,0.5
"A simple void function grip() taking in no inputs will tighten the grippers until a certain threshold of pressure is reached, at which point the grippers will be lifted for carrying.",0.5,0.535,0.535
"The conference was jointly sponsored by the New York Institute of Technology School of Management and the Armed Forces Communications and Electronics Association, a joint industry-government trade group.",0.5,0.5,0.5
"The Jameson Grill has been designed to be nothing but fun for you, your family, employees, and maybe even your neighbors.",0.5825,0.555,0.47250000000000003
"Pretax profit fell 3.7% to #128 million from #133 million and was below analysts' expectations of #130 million to #135 million, but shares rose 6 pence to 388 pence in early trading yesterday in London.",0.5,0.42500000000000004,0.475
"In 1855, Mormon leader Brigham Young responded to promising reports of Las Vegas by sending 30 missionary settlers to the valley; they eventually built a fort not far from today’s Downtown.",0.5,0.5,0.55
"Please, let yourselves breathe the fine scent of these herbs.”",0.5725,0.5,0.5
"""some ideas and some initiatives""",0.5,0.44999999999999996,0.525
"These are the pawprints of a homeless animal; an abandoned animal, shivering with fear, with no place to call home.",0.3125,0.53,0.405
It contains the Xubaizhi collection of painting and calligraphy; galleries devoted to antiquities and ceramics; and a gallery of modern Chinese art.,0.525,0.5,0.525
She giggled.,0.725,0.6,0.475
"""Dear Future, this is Tasha Cortez.",0.5625,0.47,0.5
"Nepthys lead us down a hallway that matched the building’s façade, a vaulted, ribbed intestine of a hallway, whose black walls looked unsettlingly organic.",0.5,0.525,0.525
“Last Frontier.”,0.545,0.47750000000000004,0.5225
"A cold thing with countless, writhing tentacles fell against me, thrashing as if in the throes of a drug overdose, tripping me and clutching at my limbs.",0.4325,0.5,0.47750000000000004
"Note the stained glass windows in the Quiet Chapel, designed by Joseph Edward Nuttgens in the late 1950s.",0.5,0.5,0.525
"Sonoma county always was the sheep ranch joke in the era of Napa's well-deserved, early, global fame.",0.525,0.5,0.5
"The words ""His resume is an American dream,"" a quotation from Time magazine, appear on the screen.",0.545,0.4325,0.5225
But then the puddle dried up.,0.42500000000000004,0.475,0.475
What Newsom faces in aftermath of scandal,0.4175,0.555,0.4175
"I hopped out, ran after him, and reached him just as he was knocking on the door.",0.5,0.575,0.575
Stanford study warns of Internet addiction,0.42500000000000004,0.525,0.55
They need to be identified and attacked.,0.30000000000000004,0.625,0.7
Allen and Okur get All-Star call,0.575,0.6,0.55
"As governor, I'll make sure that every kid in New York has the same opportunity I had, to get a good education.""",0.575,0.6,0.6
"Indeed, Bush has already made clear his intention to roll back one of the most important of these regulations, a provision known as new source review that compels utilities to install modern pollution controls whenever they significantly upgrade older plants.",0.5275,0.5,0.61
"""I feel sorry for you, Nardo.",0.345,0.53,0.47
“How and why this ship exists.,0.475,0.5,0.5
"Super Bowl ads of cartoonish violence, perhaps reflecting toll of war",0.42500000000000004,0.575,0.575
Europe's follies?,0.44999999999999996,0.42500000000000004,0.475
"You’ll find Hong Kong easy to get around, the people helpful, English spoken everywhere, and food that lives up to its reputation.",0.575,0.575,0.5
"“Eternal Prisoner,” 369.",0.5225,0.4325,0.5225
"Cheney starts visit to Japan, Australia",0.525,0.5,0.575
"You accuse Moore so often of changing the chronology, yet you have no problems changing it yourself.",0.44499999999999995,0.5825,0.61
A Second Century Society response card and return envelope are enclosed.,0.475,0.44999999999999996,0.5
He resorted to public assistance dollars to survive.,0.42500000000000004,0.525,0.525
He bought several Strip properties — the Silver Slipper and Castaways among them — and demolished them to make way for a new kind of resort — Mirage —  which became an instant success.,0.5725,0.5725,0.535
Iraq says it has done so and has barred inspectors since late 1998.,0.375,0.42500000000000004,0.475
"""Tibbets is going to be landing in three to four hours, and I want to give him the Distinguished Service Cross, and it is your job to write up the explanation.""",0.5275,0.5,0.5275
People are receptive to it.,0.5625,0.4375,0.53
"The tote bag is made of a strong, cotton material and has plenty of room, including a handy sewn-in pocket.",0.525,0.4,0.44999999999999996
"A delicate, delicious fish is Macau sole (linguado).",0.65,0.625,0.55
AU regrets Sudan's expulsion of UN envoy,0.4,0.525,0.5
