npc_id,profile_text
apothecary_020,"A apothecary with a secretive, methodical demeanor who values knowledge, profit, discretion. Goals: maintain_business. avoid_scrutiny. protect_knowledge."
apothecary_031,"A apothecary with a polite, secretive demeanor who values knowledge, profit, discretion. Goals: maintain_business. avoid_scrutiny. protect_knowledge."
apothecary_105,"A apothecary with a methodical, secretive demeanor who values knowledge, profit, discretion. Goals: protect_knowledge. maintain_business. avoid_scrutiny."
apothecary_158,"A apothecary with a polite, secretive demeanor who values knowledge, profit, discretion. Goals: maintain_business. avoid_scrutiny. protect_knowledge."
apothecary_163,"A apothecary with a polite, methodical demeanor who values knowledge, profit, discretion. Goals: avoid_scrutiny. protect_knowledge. maintain_business."
apothecary_225,"A apothecary with a secretive, polite demeanor who values knowledge, profit, discretion. Goals: maintain_business. protect_knowledge. avoid_scrutiny."
apothecary_266,"A apothecary with a methodical, secretive demeanor who values knowledge, profit, discretion. Goals: avoid_scrutiny. maintain_business. protect_knowledge."
apothecary_281,"A apothecary with a methodical, polite demeanor who values knowledge, profit, discretion. Goals: avoid_scrutiny. protect_knowledge. maintain_business."
apothecary_292,"A apothecary with a secretive, polite demeanor who values knowledge, profit, discretion. Goals: protect_knowledge. maintain_business. avoid_scrutiny."
apothecary_328,"A apothecary with a polite, methodical demeanor who values knowledge, profit, discretion. Goals: protect_knowledge. avoid_scrutiny. maintain_business."
apothecary_336,"A apothecary with a methodical, polite demeanor who values knowledge, profit, discretion. Goals: maintain_business. avoid_scrutiny. protect_knowledge."
apothecary_487,"A apothecary with a polite, methodical demeanor who values knowledge, profit, discretion. Goals: maintain_business. avoid_scrutiny. protect_knowledge."
apothecary_493,"A apothecary with a methodical, secretive demeanor who values knowledge, profit, discretion. Goals: protect_knowledge. avoid_scrutiny. maintain_business."
apothecary_497,"A apothecary with a methodical, polite demeanor who values knowledge, profit, discretion. Goals: avoid_scrutiny. protect_knowledge. maintain_business."
apothecary_520,"A apothecary with a polite, methodical demeanor who values knowledge, profit, discretion. Goals: protect_knowledge. maintain_business. avoid_scrutiny."
apothecary_624,"A apothecary with a methodical, secretive demeanor who values knowledge, profit, discretion. Goals: avoid_scrutiny. protect_knowledge. maintain_business."
apothecary_647,"A apothecary with a methodical, polite demeanor who values knowledge, profit, discretion. Goals: protect_knowledge. avoid_scrutiny. maintain_business."
apothecary_741,"A apothecary with a methodical, secretive demeanor who values knowledge, profit, discretion. Goals: avoid_scrutiny. protect_knowledge. maintain_business."
apothecary_754,"A apothecary with a polite, methodical demeanor who values knowledge, profit, discretion. Goals: avoid_scrutiny. maintain_business. protect_knowledge."
apothecary_802,"A apothecary with a methodical, secretive demeanor who values knowledge, profit, discretion. Goals: avoid_scrutiny. maintain_business. protect_knowledge."
apothecary_805,"A apothecary with a methodical, polite demeanor who values knowledge, profit, discretion. Goals: avoid_scrutiny. maintain_business. protect_knowledge."
apothecary_872,"A apothecary with a methodical, polite demeanor who values knowledge, profit, discretion. Goals: maintain_business. protect_knowledge. avoid_scrutiny."
apothecary_894,"A apothecary with a methodical, secretive demeanor who values knowledge, profit, discretion. Goals: protect_knowledge. avoid_scrutiny. maintain_business."
apothecary_996,"A apothecary with a methodical, polite demeanor who values knowledge, profit, discretion. Goals: protect_knowledge. avoid_scrutiny. maintain_business."
blacksmith_081,"A blacksmith with a stubborn, honest demeanor who values craft, fairness, independence. Goals: maintain_independence. complete_work. earn_fair_pay."
blacksmith_129,"A blacksmith with a stubborn, direct demeanor who values craft, fairness, independence. Goals: maintain_independence. earn_fair_pay."
blacksmith_167,"A blacksmith with a honest, stubborn demeanor who values craft, fairness, independence. Goals: complete_work. earn_fair_pay."
blacksmith_186,"A blacksmith with a stubborn, honest demeanor who values craft, fairness, independence. Goals: maintain_independence. earn_fair_pay."
blacksmith_193,"A blacksmith with a direct, stubborn demeanor who values craft, fairness, independence. Goals: complete_work. earn_fair_pay. maintain_independence."
blacksmith_239,"A blacksmith with a direct, stubborn demeanor who values craft, fairness, independence. Goals: earn_fair_pay. maintain_independence. complete_work."
blacksmith_254,"A blacksmith with a honest, direct demeanor who values craft, fairness, independence. Goals: complete_work. earn_fair_pay."
blacksmith_282,"A blacksmith with a direct, stubborn demeanor who values craft, fairness, independence. Goals: complete_work. maintain_independence. earn_fair_pay."
blacksmith_353,"A blacksmith with a stubborn, direct demeanor who values craft, fairness, independence. Goals: maintain_independence. complete_work."
blacksmith_383,"A blacksmith with a honest, direct demeanor who values craft, fairness, independence. Goals: earn_fair_pay. complete_work."
blacksmith_462,"A blacksmith with a direct, honest demeanor who values craft, fairness, independence. Goals: maintain_independence. complete_work."
blacksmith_474,"A blacksmith with a honest, stubborn demeanor who values craft, fairness, independence. Goals: maintain_independence. complete_work."
blacksmith_642,"A blacksmith with a stubborn, direct demeanor who values craft, fairness, independence. Goals: complete_work. earn_fair_pay."
blacksmith_672,"A blacksmith with a direct, stubborn demeanor who values craft, fairness, independence. Goals: complete_work. maintain_independence. earn_fair_pay."
blacksmith_693,"A blacksmith with a stubborn, honest demeanor who values craft, fairness, independence. Goals: maintain_independence. complete_work."
blacksmith_744,"A blacksmith with a honest, stubborn demeanor who values craft, fairness, independence. Goals: complete_work. earn_fair_pay."
blacksmith_795,"A blacksmith with a direct, honest demeanor who values craft, fairness, independence. Goals: complete_work. maintain_independence."
blacksmith_797,"A blacksmith with a honest, stubborn demeanor who values craft, fairness, independence. Goals: complete_work. maintain_independence."
blacksmith_834,"A blacksmith with a stubborn, direct demeanor who values craft, fairness, independence. Goals: earn_fair_pay. complete_work."
blacksmith_868,"A blacksmith with a honest, stubborn demeanor who values craft, fairness, independence. Goals: maintain_independence. complete_work. earn_fair_pay."
blacksmith_922,"A blacksmith with a stubborn, honest demeanor who values craft, fairness, independence. Goals: complete_work. maintain_independence. earn_fair_pay."
blacksmith_973,"A blacksmith with a direct, stubborn demeanor who values craft, fairness, independence. Goals: complete_work. maintain_independence. earn_fair_pay."
castle_guard_104,"A castle guard with a terse, formal demeanor who values duty, loyalty, self_preservation. Goals: avoid_scandal. protect_vault. follow_orders."
castle_guard_112,"A castle guard with a terse, formal demeanor who values duty, loyalty, self_preservation. Goals: follow_orders. protect_vault. avoid_scandal."
castle_guard_135,"A castle guard with a formal, guarded demeanor who values duty, loyalty, self_preservation. Goals: avoid_scandal. follow_orders. protect_vault."
castle_guard_235,"A castle guard with a formal, guarded demeanor who values duty, loyalty, self_preservation. Goals: avoid_scandal. follow_orders. protect_vault."
castle_guard_332,"A castle guard with a formal, terse demeanor who values duty, loyalty, self_preservation. Goals: avoid_scandal. protect_vault. follow_orders."
castle_guard_366,"A castle guard with a formal, guarded demeanor who values duty, loyalty, self_preservation. Goals: avoid_scandal. protect_vault. follow_orders."
castle_guard_417,"A castle guard with a guarded, terse demeanor who values duty, loyalty, self_preservation. Goals: protect_vault. avoid_scandal. follow_orders."
castle_guard_423,"A castle guard with a formal, terse demeanor who values duty, loyalty, self_preservation. Goals: protect_vault. follow_orders. avoid_scandal."
castle_guard_578,"A castle guard with a formal, terse demeanor who values duty, loyalty, self_preservation. Goals: avoid_scandal. follow_orders. protect_vault."
castle_guard_602,"A castle guard with a terse, formal demeanor who values duty, loyalty, self_preservation. Goals: follow_orders. avoid_scandal. protect_vault."
castle_guard_723,"A castle guard with a guarded, formal demeanor who values duty, loyalty, self_preservation. Goals: avoid_scandal. follow_orders. protect_vault."
castle_guard_814,"A castle guard with a terse, formal demeanor who values duty, loyalty, self_preservation. Goals: follow_orders. avoid_scandal. protect_vault."
castle_guard_941,"A castle guard with a guarded, formal demeanor who values duty, loyalty, self_preservation. Goals: avoid_scandal. follow_orders. protect_vault."
chamberlain_056,"A chamberlain with a refined, polite demeanor who values propriety, loyalty, ambition. Goals: serve_lord. maintain_propriety. advance_position."
chamberlain_084,"A chamberlain with a calculating, polite demeanor who values propriety, loyalty, ambition. Goals: advance_position. maintain_propriety. serve_lord."
chamberlain_211,"A chamberlain with a polite, calculating demeanor who values propriety, loyalty, ambition. Goals: maintain_propriety. advance_position. serve_lord."
chamberlain_218,"A chamberlain with a calculating, polite demeanor who values propriety, loyalty, ambition. Goals: maintain_propriety. advance_position. serve_lord."
chamberlain_263,"A chamberlain with a polite, calculating demeanor who values propriety, loyalty, ambition. Goals: serve_lord. maintain_propriety. advance_position."
chamberlain_349,"A chamberlain with a refined, calculating demeanor who values propriety, loyalty, ambition. Goals: maintain_propriety. advance_position. serve_lord."
chamberlain_378,"A chamberlain with a calculating, refined demeanor who values propriety, loyalty, ambition. Goals: advance_position. serve_lord. maintain_propriety."
chamberlain_497,"A chamberlain with a polite, refined demeanor who values propriety, loyalty, ambition. Goals: serve_lord. advance_position. maintain_propriety."
chamberlain_607,"A chamberlain with a polite, refined demeanor who values propriety, loyalty, ambition. Goals: maintain_propriety. serve_lord. advance_position."
chamberlain_617,"A chamberlain with a refined, polite demeanor who values propriety, loyalty, ambition. Goals: serve_lord. maintain_propriety. advance_position."
chamberlain_676,"A chamberlain with a calculating, refined demeanor who values propriety, loyalty, ambition. Goals: maintain_propriety. advance_position. serve_lord."
